"Id";"지정자";"풋프린트";"수량";"지정";"공급자와 참조";
54;"SW3,SW4";"SW_Push_1P1T_NO_6x6mm_H9.5mm";2;"SW_Push_Dual_x2";;;
55;"J20,J14";"Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical";2;"H5";;;
56;"C63";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"15pF";;;
57;"U46,U36";"Relay_DPDT_AXICOM_IMSeries_Pitch3.2mm";2;"~";;;
58;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MX25R3235FM2xx1";;;
59;"C80,C74";"C_0603_1608Metric";2;"1uF";;;
60;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD232D";;;
61;"R102";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"1.2K";;;
62;"L1";"C_1812_4532Metric";1;"10uH";;;
63;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
64;"J6";"Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical";1;"H1";;;
65;"J11";"Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical";1;"EN4";;;
66;"J51";"Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical";1;"Conn_01x03_Female";;;
67;"C64";"C_0603_1608Metric";1;"0.1uF 10v";;;
68;"J59";"ECH381R-3P";1;"Conn_01x03_Pin";;;
69;"J58";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
70;"C19";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"4.7uF";;;
71;"J65,J52";"SMW250-5";2;"LOADCELL";;;
72;"U2";"LQFP-176_24x24mm_P0.5mm";1;"STM32F407IGTx";;;
73;"J4";"Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical";1;"H0";;;
74;"C22";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"1uF";;;
75;"R123,R114";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"330";;;
76;"J30";"5EHDR-4P";1;"Conn_01x04_Pin";;;
77;"J3";"Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical";1;"EN0";;;
78;"C58";"C_0603_1608Metric";1;"22pF";;;
79;"J47";"ECH381R-2P";1;"SOLVALVE MAIN";;;
80;"J55";"ECH381R-2P";1;"LOADCELL PWR";;;
81;"J2";"ECH381R-2P";1;"EMERGENCY";;;
82;"R4";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"10K";;;
83;"R121,R130";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"100K";;;
84;"R27";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"120";;;
85;"J7";"Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical";1;"EN2";;;
