Ref,Mid X,Mid Y,Rotation,Side
R116,134.897,83.858,180,top
R117,134.897,96.358,180,top
R118,126.697,89.058,0,top
R119,126.697,86.258,180,top
R120,122.5845,89.058,180,top
R121,147.4485,83.408,180,top
R122,139.097,99.778,-90,top
R123,139.097,104.398,-90,top
R124,139.097,109.018,-90,top
R125,134.897,98.858,180,top
R126,134.8845,110.766,180,top
R127,126.697,102.858,0,top
R128,126.6845,100.158,180,top
R129,122.5095,102.858,180,top
R130,147.461,97.508,180,top
R131,115.292,128.991,180,top
R132,115.292,124.101,180,top
R133,129.008,131.34,0,top
R134,129.0695,122.729,0,top
R135,37.7204,125.3945,90,top
R136,37.6696,109.1385,90,top
R137,21.058,84.35,180,top
R138,35.536,84.35,0,top
R139,21.058,81.81,180,top
R140,35.536,81.81,0,top
R141,21.058,79.27,180,top
R142,35.536,79.27,0,top
R143,21.058,76.73,180,top
R144,35.536,76.73,0,top
R145,21.058,73.047,180,top
R146,35.536,73.047,0,top
R147,21.058,70.507,180,top
R148,35.536,70.507,0,top
R149,21.058,67.967,180,top
R150,35.536,67.967,0,top
R151,21.058,65.427,180,top
R152,35.536,65.427,0,top
R153,21.058,61.617,180,top
R154,35.536,61.617,0,top
R155,21.058,59.077,180,top
R156,35.536,59.077,0,top
R157,21.058,56.537,180,top
R158,35.536,56.537,0,top
R159,21.058,53.997,180,top
R160,35.536,53.997,0,top
R161,117.848,85.366,180,top
SW3,46.273,53.15,0,top
SW4,52.823,84.65,0,top
U1,129.611,74.295,0,top
U2,76.99,73.6854,0,top
U3,62.323,51.335,0,top
U4,26.018713,32.77,270,top
U5,50.693,32.77,90,top
U6,12.958,32.77,90,top
U7,17.566571,32.77,90,top
U8,61.88923,32.766,90,top
U9,72.9367,32.766,90,top
U10,83.98417,32.766,90,top
U11,95.03164,32.766,90,top
U12,106.07911,32.766,90,top
U13,117.12658,32.766,90,top
U14,128.17405,32.766,90,top
U15,139.22152,32.766,90,top
U16,150.269,32.766,90,top
U17,87.2876,117.248,90,top
U18,64.0788,117.248,90,top
U19,52.3644,117.248,-90,top
U20,75.6832,117.248,90,top
U21,98.782,117.248,-90,top
U30,22.175142,32.77,90,top
U31,43.188,32.77,270,top
U32,30.127284,32.77,90,top
U33,34.735855,32.77,90,top
U34,39.344426,32.77,90,top
U37,28.805,87.906,0,top
U38,121.44,123.466,180,top
U40,108.147,91.488,0,top
U41,121.44,128.356,180,top
U42,33.0976,117.2176,90,top
U43,143.862,90.433,90,top
U45,143.892,104.833,90,top
U47,40.87,117.248,-90,top
U48,28.782,79.905,0,top
U49,28.857,68.602,0,top
U50,28.857,57.172,0,top
U51,114.276,112.478,0,top
X2,57.198,136.674,90,top
Y1,53.062,64.462,90,top
